,Prompt,Intimacy Level,Coding Manual Average,Pei & Jurgens,Coding Min Max Normalized,P&J Min Max Normalized,Square Product,Selected ,Arnav Scrpt score,Bwaj Script score ,<-- for each variable create column,B,W,BW,Rank,meanB,meanW,meanBW,mean_stdBW,sqrtBW,std_sqrtBW
30,How's the weather affecting the general mood today?,Neutral,5.1678487,-0.32521981,0.007,0.045,0.01774823935,0.01774823935,,,,26,3,23,11,4.33333333333333,0.5,3.83333333333333,0.319444444444444,2.94392028877595,0.448943635211481
31,What's the best game to play?,Neutral,5.453917663,-0.09836961329,0.112,0.307,0.1854292318,0.1854292318,,,,42,2,40,3,7.0,0.333333333333333,6.66666666666667,0.555555555555556,4.58257569495584,0.698836241921708
32,What's the general atmosphere of the day so far?,Neutral,5.263222632,-0.132355392,0.042,0.268,0.1060942977,0.1060942977,,,,33,7,26,9,5.5,1.16666666666667,4.33333333333333,0.361111111111111,2.17124059336724,0.33111108633662
33,What's a subject to study?,Neutral,5.502040816,-0.2589640915,0.13,0.121,0.1254192968,0.1254192968,,,,32,2,30,8,5.33333333333333,0.333333333333333,5.0,0.416666666666667,4.0,0.609994281330419
34,The upcoming elections are generating a lot of discussion. What are some key points being raised?,Neutral,5.237712895,-0.1670840383,0.033,0.228,0.08674099377,0.08674099377,,,,35,1,34,6,5.83333333333333,0.166666666666667,5.66666666666667,0.472222222222222,5.91607978309962,0.902193708896317
35,What's the weather like?,Neutral,5.350890585,-0.2627541125,0.075,0.117,0.09367496998,0.09367496998,,,,43,1,42,1,7.16666666666667,0.166666666666667,7.0,0.583333333333333,6.557438524302,1.0
36,How's the overall flow of the week been?,Neutral,5.291293532,-0.03792985901,0.053,0.377,0.1413541651,0.1413541651,,,,38,2,36,4,6.33333333333333,0.333333333333333,6.0,0.5,4.35889894354067,0.664725857114254
37,The recent cold spell—has it led to any noticeable changes in routines?,Neutral,5.210589651,-0.2116166651,0.023,0.176,0.06362389488,0.06362389488,,,,43,8,35,5,7.16666666666667,1.33333333333333,5.83333333333333,0.486111111111111,2.31840462387393,0.353553390593274
38,Looks like rain is expected later—how does that typically impact daily activities?,Neutral,5.183095238,-0.2998087108,0.013,0.074,0.03101612484,0.03101612484,,,,35,1,34,6,5.83333333333333,0.166666666666667,5.66666666666667,0.472222222222222,5.91607978309962,0.902193708896317
39,Did anyone catch the buzz about the new downtown restaurant? It sounds interesting.,Neutral,5.227636364,-0.1779981554,0.029,0.215,0.07896201618,0.07896201618,,,,47,5,42,1,7.83333333333333,0.833333333333333,7.0,0.583333333333333,3.06594194335118,0.467551763083822
